title,publishedAt,categoryId,viewCount,likeCount,views_in_million
El Clasico Copa del Rey Final: Barcelona vs. Real Madrid | Copa del Rey Highlights | ESPN FC,2025-04-26T22:57:38Z,17,1660228,22318,1.660228
"Would You Risk Drowning for $500,000?",2025-04-26T16:00:00Z,24,56362921,1750660,56.362921
Liverpool v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 4/27/2025 | NBC Sports,2025-04-27T18:19:46Z,17,694027,10808,0.694027
AMP THE PRICE IS WRONG,2025-04-27T18:59:54Z,24,853769,31318,0.853769
"Recently surfaced 9/11 evidence includes video of Capitol, airplane sketch | 60 Minutes",2025-04-28T03:00:30Z,25,839315,12817,0.839315
"#3 LAKERS at #6 TIMBERWOLVES | FULL GAME 4 HIGHLIGHTS | April 27, 2025",2025-04-27T22:55:25Z,17,2275491,23967,2.275491
"Skyrim Speedrun, but the quests make no sense",2025-04-27T19:37:17Z,20,795269,45910,0.795269
Master Chief VS Doom Slayer (Halo VS Doom) | DEATH BATTLE!,2025-04-27T17:00:07Z,24,1229681,87784,1.229681
"Shedeur Sanders sliding is HIS OWN FAULT, Seahawks WIN BIG in 2025 NFL Draft | Colin Cowherd Podcast",2025-04-28T02:08:33Z,17,281715,5176,0.281715
CO-WORKERS WITH OUR FRIENDS FOR THE DAY !!,2025-04-28T00:07:46Z,1,196725,8915,0.196725
LUKA DONCIC: Sundae Conversation with Caleb Pressley,2025-04-27T12:01:11Z,24,863846,39049,0.863846
The REAL Reason Shedeur Sanders FELL in the NFL Draft,2025-04-27T18:02:54Z,17,582056,18439,0.582056
Shedeur Sanders FALLS to 5th Round! Will he make NFL teams REGRET Passing on Him? | Nightcap,2025-04-27T12:01:13Z,17,606950,14681,0.60695
Are People Starting To Hate The Savannah Bananas?,2025-04-27T23:07:00Z,17,372217,11302,0.372217
“SHAME on you!” Shedeur Sanders fell to the FIFTH round? My response.,2025-04-26T21:59:36Z,24,1240030,33580,1.24003
The Most Dangerous Building in Manhattan,2025-04-26T20:07:58Z,27,5695906,153443,5.695906
My best competition in YEARS,2025-04-27T16:13:13Z,17,919382,51445,0.919382
Magical Fishing Pool | Minecraft Misadventures SMP | Ep. 5,2025-04-27T15:16:06Z,20,357923,30108,0.357923
I Hid in Viral YouTube Videos and Nobody Noticed…,2025-04-27T20:46:47Z,24,1518317,52256,1.518317
Inside the NBA REACTS to Lakers vs Timberwolves GAME 4 Highlights,2025-04-27T22:46:53Z,17,911594,8568,0.911594
Trump border czar Tom Homan on U.S. children removed from country during deportations,2025-04-27T22:41:47Z,25,181480,3225,0.18148
HIGHLIGHTS | FC BARCELONA 3 vs 2 REAL MADRID | EL CLÁSICO | COPA DEL REY FINAL 24/25 | CHAMPIONS!🔵🔴🏆,2025-04-26T23:09:42Z,17,16140889,370404,16.140889
Cazzu - Ódiame (Video Oficial),2025-04-27T23:00:06Z,10,684209,101707,0.684209
Travis Hunter Arrives in JACKSONVILLE!! (Meets Staff + Facility Tour),2025-04-27T00:30:35Z,17,1566500,49804,1.5665
Pope Francis' procession to burial place in St. Mary Major,2025-04-26T11:12:08Z,25,1639847,12648,1.639847
I Connected My Three Giant Vivariums Together and It Changed Everything,2025-04-27T15:29:17Z,15,746860,37710,0.74686
What Happened With Shedeur Sanders?,2025-04-28T01:41:16Z,20,218028,9625,0.218028
The Elder Scrolls IV: Oblivion Remastered,2025-04-27T19:30:14Z,20,1422885,75881,1.422885
INSPECTING MY AUDI RS6 THAT WENT MISSING,2025-04-27T17:00:13Z,2,1605683,72350,1.605683
How Minecraft Mobs Act when you leave…,2025-04-26T14:15:04Z,20,1284885,19367,1.284885
NRL Match Highlights 2025 | Broncos v Bulldogs | Round 8,2025-04-24T12:10:06Z,17,216585,2539,0.216585
